run_idx,model_type,latent_dim,hidden_dim,latent_scale,best_int_loss,final_int_loss,final_loss,epochs_ran,num_params
95,linear_then_conv,4,512,8,0.05260072903990746,0.05707130818247795,0.012420634914636611,7,848677
27,conv_then_linear,4,256,8,0.05371966814517975,0.05778347682952881,0.01737481368303299,11,344149
179,mlp_only,8,64,8,0.0553191018652916,0.05550888578176499,0.02834567260444164,20,39860
160,mlp_only,4,512,16,0.05606259869575501,0.05676598322749138,0.013708031123876571,18,312624
103,linear_then_conv,6,128,8,0.05637606870174408,0.05713398152470589,0.029830319452285765,12,83663
87,linear_then_conv,4,128,8,0.05679218276977539,0.06033849848508835,0.030048035908341406,9,83149
155,mlp_only,4,256,8,0.05990710700511932,0.059992524948120116,0.024399291187524794,13,156464
99,linear_then_conv,6,64,8,0.0616703872859478,0.06571508702039719,0.02863656590819359,10,43087
148,mlp_only,4,64,16,0.06177377191066742,0.062018005759716034,0.043730526465177534,20,39344
19,conv_then_linear,4,64,8,0.06254790761232376,0.06467272051334381,0.02871198940038681,10,45357
163,mlp_only,6,64,8,0.06262253381848336,0.06362475959062576,0.02970326273858547,20,39602
62,conv_then_linear,8,512,4,0.06326570944309234,0.06420331928730011,0.008050234213471412,7,1373353
151,mlp_only,4,128,8,0.06752294704675675,0.06938275300741195,0.0316901524335146,15,78384
159,mlp_only,4,512,8,0.06880858413696289,0.07004518172502518,0.01850894109427929,11,312624
126,linear_then_conv,8,512,4,0.06917267732858658,0.0703537626862526,0.007417246771901846,8,852777
23,conv_then_linear,4,128,8,0.06977594267129898,0.07538876523494721,0.036075387198925016,8,86957
132,mlp_only,2,64,16,0.07132970412492752,0.07242866890907287,0.06393772984743118,20,39086
76,linear_then_conv,2,256,16,0.07242494917154312,0.07705300879955292,0.05713502356886864,9,251283
114,linear_then_conv,8,64,4,0.0745908613705635,0.07793052970409393,0.023000843866467478,9,43345
54,conv_then_linear,8,128,4,0.07522547541618348,0.07549967294692993,0.023631492336392404,7,87985
83,linear_then_conv,4,64,8,0.0754370716547966,0.0759195227432251,0.048065998980998996,9,42829
12,conv_then_linear,2,256,16,0.07596799724340439,0.0788627588915825,0.05772239372730255,7,343123
80,linear_then_conv,2,512,16,0.07702842848539353,0.0915691566157341,0.047794920023679736,9,846627
8,conv_then_linear,2,128,16,0.07764511517047883,0.07887147557020187,0.061793496313095095,13,86443
122,linear_then_conv,8,256,4,0.07769264558792115,0.0806704849410057,0.015434589067995549,8,254361
16,conv_then_linear,2,512,16,0.07903131257295609,0.08883005275249481,0.04816825216889382,7,1367203
136,mlp_only,2,128,16,0.07979691308736801,0.08590414115905762,0.06487277813911438,11,77870
42,conv_then_linear,6,256,4,0.08142193322896957,0.0825919451212883,0.01865678940176964,8,345175
68,linear_then_conv,2,64,16,0.0870941336774826,0.09401810190677642,0.06695165269374848,8,42571
118,linear_then_conv,8,128,4,0.08765732050657273,0.09337661591529846,0.02738028329730034,9,84177
110,linear_then_conv,6,512,4,0.08784693938016891,0.0909473002576828,0.011726413873434066,6,850727
34,conv_then_linear,6,64,4,0.0886792202782631,0.09542579411029815,0.025402313970923424,8,45615
147,mlp_only,4,64,8,0.08974497463464737,0.09060278394937515,0.060290969598293304,7,39344
186,mlp_only,8,256,4,0.09058111269712447,0.09200669775247573,0.015345306505858898,10,158516
46,conv_then_linear,6,512,4,0.09074080513715745,0.09579897774219513,0.010633664648532867,6,1371303
174,mlp_only,6,512,4,0.09183959567546844,0.09614196346521378,0.014474328951835633,8,314674
72,linear_then_conv,2,128,16,0.09526282505989074,0.10615220591783524,0.06710053015470505,8,82635
4,conv_then_linear,2,64,16,0.0955758115553856,0.09754391612291335,0.07715034747123718,8,45099
166,mlp_only,6,128,4,0.09618458909988403,0.09820926867246628,0.024212094077467917,13,78898
50,conv_then_linear,8,64,4,0.09824601508378983,0.09954507846355438,0.02832447891175747,8,45873
